name,channel,note,type,osc,btnMode,ledOff,ledOn,modeChannel
btnRow1-1,0,53,GridBtn,/exec/5/1,toggle,1,2,
btnRow1-2,1,53,GridBtn,/exec/5/2,toggle,1,2,
btnRow1-3,2,53,GridBtn,/exec/5/3,toggle,1,2,
btnRow1-4,3,53,GridBtn,/exec/5/4,toggle,1,2,
btnRow1-5,4,53,GridBtn,/exec/5/5,toggle,1,2,
btnRow1-6,5,53,GridBtn,/exec/5/6,toggle,1,2,
btnRow1-7,6,53,GridBtn,/exec/5/7,toggle,1,2,
btnRow1-8,7,53,GridBtn,/exec/5/8,toggle,1,2,
sceneLaunch1,0,82,BtnBlink,/exec/5/9,toggle,1,2,
btnRow2-1,0,54,GridBtn,/exec/5/10,toggle,1,2,
btnRow2-2,1,54,GridBtn,/exec/5/11,toggle,1,2,
btnRow2-3,2,54,GridBtn,/exec/5/12,toggle,1,2,
btnRow2-4,3,54,GridBtn,/exec/5/13,toggle,1,2,
btnRow2-5,4,54,GridBtn,/exec/5/14,toggle,1,2,
btnRow2-6,5,54,GridBtn,/exec/5/15,toggle,1,2,
btnRow2-7,6,54,GridBtn,/exec/5/16,toggle,1,2,
btnRow2-8,7,54,GridBtn,/exec/5/17,toggle,1,2,
sceneLaunch2,0,83,BtnBlink,/exec/5/18,toggle,1,2,
btnRow3-1,0,55,GridBtn,/exec/5/19,toggle,1,2,
btnRow3-2,1,55,GridBtn,/exec/5/20,toggle,1,2,
btnRow3-3,2,55,GridBtn,/exec/5/21,toggle,1,2,
btnRow3-4,3,55,GridBtn,/exec/5/22,toggle,1,2,
btnRow3-5,4,55,GridBtn,/exec/5/23,toggle,1,2,
btnRow3-6,5,55,GridBtn,/exec/5/24,toggle,1,2,
btnRow3-7,6,55,GridBtn,/exec/5/25,toggle,1,2,
btnRow3-8,7,55,GridBtn,/exec/5/26,toggle,1,2,
sceneLaunch3,0,84,BtnBlink,/exec/5/27,toggle,1,2,
btnRow4-1,0,56,GridBtn,/exec/5/28,toggle,1,2,
btnRow4-2,1,56,GridBtn,/exec/5/29,toggle,1,2,
btnRow4-3,2,56,GridBtn,/exec/5/30,toggle,1,2,
btnRow4-4,3,56,GridBtn,/exec/5/31,toggle,1,2,
btnRow4-5,4,56,GridBtn,/exec/5/32,toggle,1,2,
btnRow4-6,5,56,GridBtn,/exec/5/33,toggle,1,2,
btnRow4-7,6,56,GridBtn,/exec/5/34,toggle,1,2,
btnRow4-8,7,56,GridBtn,/exec/5/35,toggle,1,2,
sceneLaunch4,0,85,BtnBlink,/exec/5/36,toggle,1,2,
btnRow5-1,0,57,GridBtn,/exec/5/37,toggle,1,2,
btnRow5-2,1,57,GridBtn,/exec/5/38,toggle,1,2,
btnRow5-3,2,57,GridBtn,/exec/5/39,toggle,1,2,
btnRow5-4,3,57,GridBtn,/exec/5/40,toggle,1,2,
